교과코드,설문8
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다!
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,강연이 좀더 많았으면 좋겠습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,노래 많이 불러주면 좋겠어요
KMA02101,채플 때 공연(음악)을 본 적이 많은데 해당 곡을 왜 선정했는지 말씀해주시면 좋겠어요.
KMA02101,
KMA02101,시간 낭비입니다. 폐강하세요.
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,듣기 편안합니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,감사합니다
KMA02101,
KMA02101,더 바라는 점이 없습니다.
KMA02101,
KMA02101,노래를 많이 들려주시는데 솔직히 밴드공연처럼 잔잔한 노래가 아니라 큰 소리로 노래하는 거라서 노래를 듣고 말씀을 듣는데 온도차가 많은것 같습니다..
KMA02101,
KMA02101,기독교에 관심이 없는 학생들에게도 거부감이 없도록 최대한 종교적인 내용은 배제하고 삶을 대할 때 어떻게 대할지 고민하는 시간이 되어 좋았습니다.
KMA02101,감사합니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,항상 좋은음악을 들려 주셔서 감사합니다 모두가 한마음 한뜻으로 강의를 듣는게 너무 재밌어요
KMA02101,
KMA02101,
KMA02101,
KMA02101,없어용
KMA02101,
KMA02101,
KMA02101,좋은 하루 보내세요
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,고생많으십니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,X
KMA02101,
KMA02101,없습니다 감사합니다
KMA02101,종교와 관련된 교양이 필수가 이니였으면 좋겠다.
KMA02101,.
KMA02101,고생하십니다
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,좋아요
KMA02101,
KMA02101,2번만 듣게해주세요
KMA02101,X
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,.
KMA02101,굿
KMA02101,공연채플을 더 많이 했으면 좋겠습니다!
KMA02101,없습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,항상 좋은 컨텐츠로 함께 해주셔서 감사드립니다.
KMA02101,
KMA02101,x
KMA02101,
KMA02101,
KMA02101,좋습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,특별히 없습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,재밌다. 그런데 개인적으로는 공연채플보단 강연채플을 더 좋아해서 공연채플 하는 날에는 가끔 아쉽다.
KMA02101,
KMA02101,
KMA02101,노잼 공연채플 너무많이함..
KMA02101,
KMA02101,너무 좋아요.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,다 좋아요
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,종교 강요 멈춰주세요
KMA02101,
KMA02101,
KMA02101,
KMA02101,출석이 5분까지인데 좀만 더 여유로웠으면 좋겠습니다.
KMA02101,.
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,매번 지루하지 않게 공연으로 강의를 해주셔서 너무 즐겁다.
KMA02101,-
KMA02101,좀 더 흥미 위주의 공연이 있었으면 좋겠습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,1시나 목요일 채플 만들어주세요
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,"매주 공연이나 영상 등으로 재미있게 채플 수업을 진행해주셔서 좋고, 기독교에 대해 더 친근하게 접할 수 있는 것 같았습니다."
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,0.5학점은 너무 적은 것 같습니다.
KMA02101,
KMA02101,.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,다 좋아요
KMA02101,지금처럼만 하면 좋을 것 같습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,.
KMA02101,x
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없어요
KMA02101,없습니다
KMA02101,채플도 블랜디드 형식으로 하면 좋을 것 같다.
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,종종 가요 부르는 무대가 있어서 좋습니다
KMA02101,
KMA02101,공연 채플 하는 날에는 다른 방식으로 출석을 확인하는 것이 좋을 것 같습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,그냥 졸업 필수 과목이라 듣는 편이다.
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,재미있어요.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,좋아요
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,늘 고생하십니다^^
KMA02101,"채플 저번년도는 초빙강사님도 많이 오시고, 힐링되는 시간이었는데.. 이번년도는 예산때문인지 조금 아쉽습니다ㅠㅠ"
KMA02101,
KMA02101,
KMA02101,채플 시간이 유익한 것 같습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,x
KMA02101,없음
KMA02101,
KMA02101,공연채플이 더 많으면 흥미로울 거 같다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,X
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,좋습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,공연채플이 더 많았으면 좋겠습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,항상 감사합니다.
KMA02101,
KMA02101,
KMA02101,넘 좋은 수업 감사합니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음.
KMA02101,감사합니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,아주 좋은 코스
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,.
KMA02101,찬양 신청곡 받아서 해주세요..
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,
KMA02101,좋아요
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다.
KMA02101,
KMA02101,채플 공연이 많아 좋았다
KMA02101,여러 공연과 강연을 늘 준비해주셔서 항상 감사합니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,공연만 해주세요 성경 읽기 금지..
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,없습니다.
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,없습니다
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,그냥그렇습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,감사합니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,없습니다. 너무 좋습니다!
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,끝나는 시간이 적절하다
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02102,
KMA02102,없습니다
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,좋다
KMA02102,
KMA02102,老师非常好
KMA02102,관심이 가기 힒든 주제인 것 같습니다
KMA02102,2시간 수업에서 10분정도라도 쉬는 시간을 주시면 정말 감사하겠습니다. 그리고 수업ㅜ전에 미리 강의자료를 올려주신다면 정말 감사하겠습니다.
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,너무 좋아요
KMA02102,
KMA02102,똑같은 말만 계속 여러번 반복하신다는 기분이 든다. 이 한 과목이 시간을 길게 빼는것보다 1시간이라도 깊게 고민해서 팀끼리 발표하는게 더 효율적이라는 생각이 든다.
KMA02102,
KMA02102,책에 관련하여 토의하는 것까지는 좋았으나 그보다 더 나아가 발표하시는 내용까지는 집중을 유지하기 어려웠습니다. 강의를 들으며 필기나 메모할 수 있는 수업자료 혹은 요약본이 있었으면 좋겠습니다.
KMA02102,
KMA02102,
KMA02102,
KMA02102,교수님이 쉬는 시간을 조금이라도 주셨으면 좋겠습니다. 항상 강의 열정적으로 해주셔서 감사합니다
KMA02102,
KMA02102,
KMA02102,없습니다
KMA02102,덕 하나하나에 대한 이야기를 살펴보는게 재밌습니다!
KMA02102,
KMA02102,
KMA02102,
KMA02102,"기독교 과목 수업 중 제일 배우는 것, 얻는 것이 제일 많은 강의"
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,항상 감사드립니다 교수님 : )
KMA02102,
KMA02102,없음
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,좋아요
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,딱히 없다.
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,없음
KMA02102,X
KMA02102,좋습니다
KMA02102,
KMA02102,
KMA02102,
KMA02102,없음.
KMA02102,
KMA02102,교수님이 너무 착하셔요
KMA02102,수업 빨리 끝내주시는 것 보다 늦게 시작해주셨으면 좋겠어요 &hellip; ex) 기흥셔틀 고려해서 9시 30분 시작
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,기독교 관련 지식 외에도 역사 관련한 지식을 더 많이 얻고싶어요
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,
KMA02102,수업이 다채롭고 다양해서 재미있습니다.감사합니다.
KMA02102,감사합니다
KMA02102,
KMA02103,
KMA02103,
KMA02103,
KMA02103,
KMA02103,
KMA02103,
KMA02103,
KMA02103,종교와 과학이라는 이름에 어울리지 않는 강의.
KMA02103,
KMA02103,-
KMA02103,
KMA02103,
KMA02103,
KMA02103,
KMA02103,
KMA02103,질의응답시간이 좀더 많았으면 좋겠습니다
KMA02103,특별히 없습니다.
KMA02103,없습니다
KMA02103,
KMA02103,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,내가 듣는 강의 중에 사는데 가장 큰 도움을 줄 거 같다.
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,교수님이 정말정말 잘 가르쳐주시고 수업이 너무 재미있습니다! 덕분에 글쓰기 실력도 늘고 글쓰기에 대한 관심도 향상되고 있습니다
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,좋아요
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,바라는점 없습니다
KMA02104,없음
KMA02104,
KMA02104,
KMA02104,없음
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,동료평가를 했을 때 학생들끼리 주고 받았던 코멘트들이 직관적이어서 도움이 많이 되었습니다. 동료평가 횟수를 조금만 더 늘려주시면 좋겠습니다.
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,수업 도중 종종 ppt 내용을 가리셔서 필기하는데 어려움이 있습니다.
KMA02104,"학생 배려를 너무 잘해주셔서 감사하고, 글쓰기하면서 각박한 전공수업사이에서 힐링하고있습니다. 감사합니다."
KMA02104,
KMA02104,교수님 늘 학생들을 배려해 주셔서 감사합니다.  저도 열심히 수업에 임하겠습니다.  감사합니다~~!!
KMA02104,.
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,글쓰기 과목이라 어쩔 수 없지만 과제가 조금 많은 편입니다...!
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,교수님 강의는 너무 재밌어요  대신 강의실이 크지않은데 마이크까지 사용하니까 목소리가 너무 커서 수업듣기가 너무 힘들어요.. 말씀하실때 갑자기 단어나 조사에 엄청 크게 말씀하시는데 너무 자주 그래서 수업 잘 듣다가 너무 놀래요..! 강의 중 목소리가 너무 커서 듣기가 피로합니다ㅠㅠ
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,
KMA02104,좋으세요
KMA02104,
KMA02104,
KMA02104,
KMA02104,너무 자세하고 친절하게 설명해주셔서 진도나 내용진행에 조금 쳐지는 부분이 있는것같습니다
KMA02104,없음
KMA02104,
KMA02104,없다
KMA02104,
KMA02104,
KMA02104,
KMA02105,없습니다.
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,없음
KMA02105,
KMA02105,
KMA02105,
KMA02105,너무 같은 설명을 반복해서 하는 느낌이다.
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,최신 자료를 이용했으면 좋겠다.
KMA02105,
KMA02105,
KMA02105,
KMA02105,.
KMA02105,
KMA02105,
KMA02105,발표가 떨리긴 하지만 재밌습니다.
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,수 업참여도를 반영하실 때 많이 했던 사람 말고 많이 안 해본 사람 위주로 더 시켜주시면 감사하겠습니다.  발표와 토의여서 수업 시간에 발표를 해야 하는 것이 부담되기도 한데 하면 할 수록 실력이 늘어가고 있는 것 같아서 감사합니다.
KMA02105,
KMA02105,없다
KMA02105,좋아요
KMA02105,없음
KMA02105,감사합니다
KMA02105,없습니다
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,교수님이 열정적이셔서 수업이 재미있습니다. 항상 감사드립니다 교수님 ㅎㅎ
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02105,
KMA02106,없습니다
KMA02106,
KMA02106,없음
KMA02106,
KMA02106,"문장 해석 중 뜻은 같지만 다른 단어가 굉장히 많이 등장하는데, 실제로 어떤 뉘앙스로 쓰이는지 다른 단어와 비교해 주시면서 학생들에게 차이를 제대로 알려주시는 것 같아 만족하면서 수강 중 입니다."
KMA02106,교수님의 예문을 많이 보여주시면서 표현에 대해 이해시키시는 강의 방식이 잘 맞아 수업 듣는 데 많은 도움을 받고있습니다. 다만 틀리다와 다르다라는 말은 혼용하시는데 고쳐주시면 수업을 듣을 때 더욱 집중이 잘 될 것 같습니다. 감사합니다.
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,자세히 영어를 가르쳐 주셔서 이해하기가 수월해요
KMA02106,
KMA02106,
KMA02106,없다
KMA02106,
KMA02106,
KMA02106,
KMA02106,좋아요
KMA02106,
KMA02106,없다
KMA02106,
KMA02106,없습니다.
KMA02106,
KMA02106,늘 감사합니다
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,교수님 좋아요
KMA02106,
KMA02106,
KMA02106,
KMA02106,없다
KMA02106,
KMA02106,
KMA02106,감사합니다
KMA02106,
KMA02106,
KMA02106,없음
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,교수님이 너무 좋으셔서 딱히 바라는 점은 없습니다
KMA02106,
KMA02106,없음
KMA02106,너무 좋습니다
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,-
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,충분히 좋은 수업입니다
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,없음.
KMA02106,
KMA02106,어려워요 ㅠㅠ
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,없다
KMA02106,
KMA02106,
KMA02106,
KMA02106,교수님이 매우 친절하시고 좋아요
KMA02106,
KMA02106,
KMA02106,.
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,본문에 나오는 문법을 좀 더 설명해 주시면 좋겠어요!
KMA02106,좋은 하루 보내세요
KMA02106,모둠을 랜덤으로 선택해서 앉고있는데  본문 하나가 끝났으면 다시 모둠을 만들었으면 좋겠어요.
KMA02106,없습니다
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,.
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,
KMA02106,이보경교수님 짱!
KMA02106,패들렛 활용해서 수업참여 활동하는 거 너무 좋습니다
KMA02106,좋습니다
KMA02106,
KMA02106,
KMA02106,
KMA02106,
